name_ja,name_en
うずまきナルト,Naruto Uzumaki
ナルト,Naruto
うちはサスケ,Sasuke Uchiha
サスケ,Sasuke
春野サクラ,Sakura Haruno
サクラ,Sakura
はたけカカシ,Kakashi Hatake
カカシ,Kakashi
うちはイタチ,Itachi Uchiha
イタチ,Itachi
うちはマダラ,Madara Uchiha
マダラ,Madara
うちはオビト,Obito Uchiha
オビト,Obito
うちはシスイ,Shisui Uchiha
自来也,Jiraiya
ジライヤ,Jiraiya
綱手,Tsunade
ツナデ,Tsunade
大蛇丸,Orochimaru
波風ミナト,Minato Namikaze
ミナト,Minato
奈良シカマル,Shikamaru Nara
シカマル,Shikamaru
秋道チョウジ,Choji Akimichi
山中いの,Ino Yamanaka
日向ヒナタ,Hinata Hyuga
ヒナタ,Hinata
日向ネジ,Neji Hyuga
ネジ,Neji
テンテン,Tenten
ロック・リー,Rock Lee
マイト・ガイ,Might Guy
犬塚キバ,Kiba Inuzuka
油女シノ,Shino Aburame
我愛羅,Gaara
ガアラ,Gaara
テマリ,Temari
カンクロウ,Kankuro
サイ,Sai
千手柱間,Hashirama Senju
千手扉間,Tobirama Senju
猿飛ヒルゼン,Hiruzen Sarutobi
猿飛アスマ,Asuma Sarutobi
ペイン,Pain
長門,Nagato
小南,Konan
デイダラ,Deidara
サソリ,Sasori
飛段,Hidan
角都,Kakuzu
干柿鬼鮫,Kisame Hoshigaki
トビ,Tobi
ゼツ,Zetsu
薬師カブト,Kabuto Yakushi
桃地再不斬,Zabuza Momochi
ハク,Haku
