カテゴリ,日本語名,英語名,セット記号,カード番号,PSAグレード指定,有効フラグ
pokemon,リザードンex,Charizard ex,sv2a,201/165,,1
pokemon,リザードンex,Charizard ex,sv2a,006/165,,1
pokemon,フシギバナex,Venusaur ex,sv2a,003/165,,1
pokemon,カメックスex,Blastoise ex,sv2a,009/165,,1
pokemon,ミュウex,Mew ex,sv2a,151/165,,1
pokemon,フーディンex,Alakazam ex,sv2a,065/165,,1
pokemon,サンダーex,Zapdos ex,sv2a,145/165,,1
pokemon,ピカチュウ,Pikachu,sv2a,025/165,,1
pokemon,ライチュウ,Raichu,sv2a,026/165,,1
pokemon,イーブイ,Eevee,sv2a,133/165,,1
pokemon,ミュウツー,Mewtwo,sv2a,150/165,,1
pokemon,ゲンガー,Gengar,sv2a,094/165,,1
pokemon,カビゴン,Snorlax,sv2a,143/165,,1
pokemon,フシギダネ,Bulbasaur,sv2a,001/165,,1
pokemon,ヒトカゲ,Charmander,sv2a,004/165,,1
pokemon,ゼニガメ,Squirtle,sv2a,007/165,,1
pokemon,ピカチュウ,Pikachu,s12a,205/172,,1
pokemon,アルセウスVSTAR,Arceus VSTAR,s12a,262/172,,1
pokemon,ギラティナVSTAR,Giratina VSTAR,s12a,261/172,,1
pokemon,ブラッキーVMAX,Umbreon VMAX,s6a,095/069,,1
pokemon,ギラティナV,Giratina V,s11,111/100,,1
pokemon,ルギアV,Lugia V,s12,118/098,,1
pokemon,レックウザVMAX,Rayquaza VMAX,s7r,111/067,,1
pokemon,ミュウV,Mew V,s8,105/100,,1
pokemon,リザードンex,Charizard ex,sv3,201/108,,1
pokemon,リザードンex,Charizard ex,sv2a,201/165,10,1
pokemon,ピカチュウ,Pikachu,s12a,205/172,10,1
pokemon,ブラッキーVMAX,Umbreon VMAX,s6a,095/069,10,1
pokemon,ギラティナV,Giratina V,s11,111/100,10,1
pokemon,ルギアV,Lugia V,s12,118/098,10,1
naruto,ナルト カードダス,Naruto Data Carddass,,DN-*,,1
naruto,ナルト カードダス,Naruto Data Carddass,,NM-*,,1
naruto,ナルト カードダス,Naruto Data Carddass,,NX-*,,1
naruto,NARUTO カードゲーム,Naruto Card Game,,忍-*,,1
